PROCESSO_ANATEL;PROTOCOLO_DATA;ACORDO_TIPO;PRESTADORA_1_CNPJ;PRESTADORA_1;PRESTADORA_1_SERV_MOD;PRESTADORA_2_CNPJ;PRESTADORA_2;PRESTADORA_2_SERV_MOD;DESPACHO_DECISORIO_SEI;DESPACHO_DECISORIO_DATA;CONCLUSAO_DATA;OBSERVACAO
53500.031100/2012-55;13/12/2012;;71.208.516/0001-74;ALGAR TELECOM S/A;STFC-LOCAL/LDN/LDI;05.236.051/0002-11;OPÇÃONET INFORMÁTICA LTDA - EPP;STFC-LOCAL/LDN/LDI;3328;25/06/2013;26/06/2013;Classe: I-907. Localização: ARQUIVO SETORIAL. 
53500.030459/2012-13;13/12/2012;;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;STFC-LOCAL/LDN/LDI;04.206.050/0001-80;TIM CELULAR S.A.;SMP;3628;18/07/2013;19/07/2013;Classe: II-640.
53500.031695/2012-49;21/12/2012;;76.535.764/0001-43;OI S.A.;STFC-LOCAL;12.488.125/0001-91;BR GROUP TELECOMUNICAÇÕES LTDA;STFC-LOCAL;3485;10/07/2013;11/07/2013;Classe: I-909. Localização: ARQUIVO SETORIAL. 
53500.000182/2013-77;28/12/2012;;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LDN/LDI;08.170.849/0001-15;DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA LTDA;STFC-LOCAL;1803;14/03/2013;17/05/2013;Classe: I-911. Localização: ARQUIVO SETORIAL. 
53500.000465/2013-19;02/01/2013;;02.449.992/0001-64;VIVO S/A;SMP;09.177.971/0001-86;AUE PROVEDOR DE INTERNET LTDA;STFC-LOCAL/LDN/LDI;2085;27/03/2013;17/05/2013;Classe: II-642. Localização: ARQUIVO SETORIAL. 
53500.000742/2013-93;03/01/2013;;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LOCAL;12.538.334/0001-00;G30 TELECOM SERVIÇOS EM TELECOMUNICAÇÕES LTDA;STFC-LOCAL;1988;21/03/2013;17/05/2013;Classe: I-914. Localização: ARQUIVO SETORIAL. 
53500.001247/2013-00;08/01/2013;CONTRATO;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LOCAL;11.400.830/0001-22;ENCANTO TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4034;13/08/2013;15/08/2013;Classe: I-915.
53500.000744/2013-82;09/01/2013;;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;STFC-LOCAL/LDN/LDI;09.177.971/0001-86;AUE PROVEDOR DE INTERNET LTDA;STFC-LOCAL/LDN/LDI;1987;21/03/2013;17/05/2013;Classe: I-912. Localização: ARQUIVO SETORIAL. 
53500.001188/2013-61;09/01/2013;;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;05.236.051/0002-11;OPÇÃONET INFORMÁTICA LTDA - EPP;STFC-LOCAL;5243;31/10/2013;01/11/2013;Classe: I-919.
53500.001155/2013-11;10/01/2013;;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;11.281.004/0001-01;PORTO SEGURO TELECOMUNICAÇÕES LTDA;SMP;1806;14/03/2013;17/05/2013;Classe: II-647. Localização: ARQUIVO SETORIAL. 
53500.002099/2013-32;14/01/2013;;40.432.544/0001-47;CLARO S.A.;SMP;08.316.162/0001-45;RST SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;2615;19/04/2013;17/05/2013;Classe: II-651. Localização: ARQUIVO SETORIAL. 
53500.002269/2013-89;14/01/2013;;71.208.516/0001-74;ALGAR TELECOM S/A;STFC-LOCAL/LDN/LDI;10.552.549/0001-42;LAFAIETE PROVEDOR DE INTERNET E TELECOMUNICAÇÕES LTDA (LAFAIETE TELECOM);STFC-LOCAL/LDN/LDI;3337;25/06/2013;26/06/2013;Classe: I-884. Localização: ARQUIVO SETORIAL. 
53500.001156/2013-66;16/01/2013;;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;11.281.004/0001-01;PORTO SEGURO TELECOMUNICAÇÕES LTDA;SMP;1807;14/03/2013;17/05/2013;Classe: II-648. Localização: ARQUIVO SETORIAL. 
53500.001193/2013-74;16/01/2013;;04.206.050/0001-80;TIM CELULAR S.A.;STFC-LDN/LDI;39.495.486/0001-11;DATORA TELECOMUNICAÇÕES LTDA;SMP;2084;27/03/2013;17/05/2013;Classe: II-646. Localização: ARQUIVO SETORIAL. 
53500.001798/2013-65;16/01/2013;CONTRATO;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LDN/LDI;79.956.793/0001-77;A. K. OKAMOTO - VISÃONET TELECOM LTDA - EPP;STFC-LOCAL;3956;09/08/2013;15/08/2013;Classe: I-927.
53500.001793/2013-32;17/01/2013;;04.206.050/0001-80;TIM CELULAR S.A.;SMP;08.362.807/0001-86;SIMTERNET TECNOLOGIA DA INFORMAÇÃO LTDA - VOXBRAS;STFC-LOCAL;1798;14/03/2013;17/05/2013;Classe: II-649. Localização: ARQUIVO SETORIAL. 
53500.001795/2013-21;17/01/2013;;02.421.421/0001-11;INTELIG TELECOMUNICAÇÕES LTDA;STFC-LOCAL;08.362.807/0001-86;SIMTERNET TECNOLOGIA DA INFORMAÇÃO LTDA - VOXBRAS;STFC-LOCAL;1804;14/03/2013;17/05/2013;Classe: I-925. Localização: ARQUIVO SETORIAL. 
53500.001366/2013-54;17/01/2013;CONTRATO;18.384.930/0001-51;DATORA;SMP;04.206.050/0001-80;TIM CELULAR S.A.;SMP;3960;09/08/2013;15/08/2013;Classe: IV.
53500.001327/2013-57;17/01/2013;CONTRATO;11.281.004/0001-01;PORTO SEGURO TELECOMUNICAÇÕES LTDA;SMP;04.206.050/0001-80;TIM CELULAR S.A.;SMP;4105;20/08/2013;21/08/2013;Classe: IV.
53500.002285/2013-71;23/01/2013;;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;09.446.842/0001-46;HIT TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;2748;25/04/2013;17/05/2013;Classe: I-930. Localização: ARQUIVO SETORIAL. 
53500.002283/2013-82;23/01/2013;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;04.263.321/0001-30;IPÊ INFORMÁTICA LTDA - ME (SUL INTERNET);STFC-LOCAL/LDN/LDI;3323;24/06/2013;02/07/2013;Classe: I-928. Localização: ARQUIVO SETORIAL. 
53500.002284/2013-27;23/01/2013;CONTRATO;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;08.022.054/0001-60;OSTARA TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;3321;24/06/2013;02/07/2013;Classe: I-929. Localização: ARQUIVO SETORIAL. 
53500.002717/2013-44;24/01/2013;;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LOCAL;66.624.776/0001-90;EQUANT BRASIL LTDA (ORANGE);STFC-LOCAL;2086;27/03/2013;17/05/2013;Classe: I-932. Localização: ARQUIVO SETORIAL. 
53500.002503/2013-78;30/01/2013;;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LDN/LDI;66.624.776/0001-90;EQUANT BRASIL LTDA (ORANGE);STFC-LOCAL;2087;27/03/2013;17/05/2013;Classe: I-931. Localização: ARQUIVO SETORIAL. 
53500.003507/2013-73;07/02/2013;;02.449.992/0001-64;VIVO S/A;SMP;08.170.849/0001-15;DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA LTDA;STFC-LOCAL/LDN/LDI;1989;21/03/2013;17/05/2013;Classe: II-653. Localização: ARQUIVO SETORIAL. 
53500.003928/2013-02;07/02/2013;;02.449.992/0001-64;VIVO S/A;SMP;11.281.004/0001-01;PORTO SEGURO TELECOMUNICAÇÕES LTDA;SMP;3459;08/07/2013;10/07/2013;Classe: IV. Localização: SCP/NÚCLEO. 
53500.003506/2013-29;15/02/2013;;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;STFC-LOCAL/LDN/LDI;08.170.849/0001-15;DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA LTDA;STFC-LOCAL/LDN/LDI;1990;21/03/2013;17/05/2013;Classe: I-933. Localização: ARQUIVO SETORIAL. 
53500.003499/2013-65;15/02/2013;CONTRATO;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;STFC-LOCAL/LDN/LDI;11.281.004/0001-01;PORTO SEGURO TELECOMUNICAÇÕES LTDA;SMP;3597;16/07/2013;18/07/2013;Classe: II-652. Localização: SCP/NÚCLEO. 
53500.006235/2013-63;11/03/2013;;02.449.992/0001-64;VIVO S/A;SMP;05.684.180/0001-91;COMPANHIA ITABIRANA DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;2616;19/04/2013;17/05/2013;Classe: II-655. Localização: ARQUIVO SETORIAL. 
53500.006239/2013-41;11/03/2013;CONTRATO;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;STFC-LOCAL/LDN/LDI;05.684.180/0001-91;COMPANHIA ITABIRANA DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;3534;12/07/2013;15/07/2013;Classe: I-934. Localização: ARQUIVO SETORIAL. 
53500.006180/2013-91;11/03/2013;CONTRATO;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;STFC-LOCAL/LDN/LDI;04.263.321/0001-30;IPÊ INFORMÁTICA LTDA - ME (SUL INTERNET);STFC-LOCAL/LDN/LDI;3653;22/07/2013;23/07/2013;Classe: I-935.
53500.006107/2013-10;14/03/2013;;02.449.992/0001-64;VIVO S/A;SMP;04.263.321/0001-30;IPÊ INFORMÁTICA LTDA - ME (SUL INTERNET);STFC-LOCAL;3723;29/07/2013;30/07/2013;Classe: II-654. Localização: ARMÁRIO. 
53500.007369/2013-00;15/03/2013;;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LOCAL;;COMPULINE TELECOM;STFC-LOCAL;3455;08/07/2013;10/07/2013;Classe: I-940. Localização: ARQUIVO SETORIAL. 
53500.007365/2013-13;21/03/2013;;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;STFC-LOCAL/LDN/LDI;12.538.334/0001-00;G30 TELECOM SERVIÇOS EM TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;2612;19/04/2013;17/05/2013;Classe: I-941. Localização: ARQUIVO SETORIAL. 
53500.007366/2013-68;21/03/2013;;02.449.992/0001-64;VIVO S/A;SMP;00.989.304/0001-23;WKVE ASSESSORIA EM SERVIÇOS DE INFORMÁTICA E TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;2716;29/07/2013;30/07/2013;Classe: II-659. Localização: ARMÁRIO. 
53500.007372/2013-15;25/03/2013;;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LOCAL;03.197.023/0001-26;UNIVERSAL TELECOM S.A. (UNITELCO);STFC-LOCAL;3475;09/07/2013;10/07/2013;Classe: I-938. Localização: ARQUIVO SETORIAL. 
53500.007373/2013-60;25/03/2013;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;12.488.125/0001-91;BR GROUP TELECOMUNICAÇÕES LTDA;STFC-LOCAL;3629;18/07/2013;19/07/2013;Classe: II-657.
53500.007374/2013-12;25/03/2013;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;01.102.038/0001-38;MARCELO MOREIRA DIONÍSIO GOIÁS TELECOMUNICAÇÕES (GOIÁS TELECOM);STFC-LOCAL;3626;18/07/2013;19/07/2013;Classe: II-658.
53500.007368/2013-57;01/04/2013;;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LDN/LDI;;COMPULINE TELECOM;STFC-LOCAL;3454;08/07/2013;10/07/2013;Classe: I-937. Localização: ARQUIVO SETORIAL. 
53500.007371/2013-71;01/04/2013;;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LDN/LDI;03.197.023/0001-26;UNIVERSAL TELECOM S.A. (UNITELCO);STFC-LOCAL;3464;09/07/2013;10/07/2013;Classe: I-936. Localização: ARQUIVO SETORIAL. 
53500.007364/2013-79;01/04/2013;;02.449.992/0001-64;VIVO S/A;SMP;12.538.334/0001-00;G30 TELECOM SERVIÇOS EM TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;3721;29/07/2013;30/07/2013;Classe: II-656. Localização: ARMÁRIO. 
53500.025172/2006-15;01/04/2013;ADITIVO;;TMAIS;STFC-LOCAL/LDN/LDI;02.558.157/0001-62;TELECOMUNICAÇÕES DE SÃO PAULO S/A - TELESP;STFC-LOCAL/LDN/LDI;4039;13/08/2013;15/08/2013;Classe: I-332.
53500.008136/2013-16;04/04/2013;;76.535.764/0001-43;OI S.A.;STFC-LOCAL;05.684.180/0001-91;COMPANHIA ITABIRANA DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;3624;18/07/2013;19/07/2013;Classe: I-943. Localização: ARMÁRIO. 
53500.008139/2013-50;04/04/2013;;76.535.764/0001-43;OI S.A.;STFC-LDN/LDI;05.684.180/0001-91;COMPANHIA ITABIRANA DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;3622;18/07/2013;19/07/2013;Classe: I-944. Localização: ARMÁRIO. 
53500.008138/2013-13;04/04/2013;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;08.062.253/0001-00;CAMBRIDGE TELECOMUNICAÇÕES LTDA;STFC-LDN/LDI;3682;23/07/2013;24/07/2013;Classe: II-660.
53500.008140/2013-84;04/04/2013;CONTRATO;05.423.963/0001-11;OI MÓVEL S.A.;SMP;08.062.253/0001-00;CAMBRIDGE TELECOMUNICAÇÕES LTDA;STFC-LDN/LDI;3676;23/07/2013;24/07/2013;Classe: II-661.
53500.008137/2013-61;04/04/2013;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;08.062.253/0001-00;CAMBRIDGE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;4423;11/09/2013;12/09/2013;Classe: I-945.
53500.008322/2013-55;05/04/2013;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LOCAL;08.062.253/0001-00;CAMBRIDGE TELECOMUNICAÇÕES LTDA;STFC-LDN/LDI;3680;23/07/2013;24/07/2013;Classe: I-946. Localização: SCP/NÚCLEO. 
53500.008672/2013-11;09/04/2013;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;04.263.321/0001-30;IPÊ INFORMÁTICA LTDA - ME (SUL INTERNET);STFC-LOCAL;3477;09/07/2013;10/07/2013;Classe: ii-666. Localização: ARQUIVO SETORIAL. 
53500.008675/2013-55;09/04/2013;CONTRATO;04.206.050/0001-80;TIM CELULAR S.A.;SMP;02.255.187/0001-08;TPA INFORMÁTICA LTDA;STFC-LOCAL;3478;09/07/2013;10/07/2013;Classe: ii-667. Localização: ARQUIVO SETORIAL. 
